salesorder_no,qbo_invoice_id,doc_number,txn_date,sync_token,kind,line_id,amount,current_item_ref_name,current_item_ref_value,description
TP-583683593446000612-128884,69878,TP-583683593446000612,2026-04-25,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
TP-583710156336695156-128884,70180,TP-583710156336695156,2026-04-26,0,product,1,690000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp690.000 · disc: 11.54% / Rp90.000]"
SP-260425NXSA49EX,69844,SP-260425NXSA49EX,2026-04-25,0,product,1,690000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp690.000 · disc: 11.54% / Rp90.000]"
SP-260425QTTRCK11,70096,SP-260425QTTRCK11,2026-04-25,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SP-260425QAPMK8W9,70087,SP-260425QAPMK8W9,2026-04-25,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SP-260425QA2RH9VP,70076,SP-260425QA2RH9VP,2026-04-25,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SP-260427V5GYE2JR,70073,SP-260427V5GYE2JR,2026-04-27,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SP-260425PHT0VE69,69847,SP-260425PHT0VE69,2026-04-25,0,product,1,1250000,"Sales",1,"TREELOGY The Movement & Relief | Moringa Daun Kelor Premium | 180 Kapsul + Oil 60ml | Bantu Pegal Sendi + Perawatan Kulit & Rambut [@Rp1.450.000 · disc: 10.71% / Rp150.000]"
SHF-7434-128887,70061,SHF-7434-128887,2026-04-26,1,shipping,2,15000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7437-128887,70051,SHF-7437-128887,2026-04-26,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7432-128887,70057,SHF-7432-128887,2026-04-25,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7431-128887,70055,SHF-7431-128887,2026-04-25,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
DP-AHWAZAN46UJFTUXX6R,70049,DP-AHWAZAN46UJFTUXX6R,2026-04-27,3,shipping,7,12500,"Sales",1,"Shipping (Grab Express Instant)"
DP-SBT4DEYQ338HCPKN3C,70035,DP-SBT4DEYQ338HCPKN3C,2026-04-27,3,shipping,7,30000,"Sales",1,"Shipping (Lion Parcel REGPACK)"
DP-2XMHA3S9C7AVSUXQC6,70037,DP-2XMHA3S9C7AVSUXQC6,2026-04-27,3,shipping,7,30000,"Sales",1,"Shipping (Lion Parcel REGPACK)"
TP-583684722538743518-128884,69871,TP-583684722538743518,2026-04-25,0,product,1,690000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp690.000 · disc: 11.54% / Rp90.000]"
TP-583685091417425706-128884,69881,TP-583685091417425706,2026-04-25,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
SP-260424MRN2W13G,69675,SP-260424MRN2W13G,2026-04-24,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
TP-583700131971695830-128884,69967,TP-583700131971695830,2026-04-26,0,product,1,470000,"Sales",1,"TREELOGY Premium Organic Moringa Seed Oil / Minyak Biji Kelor Organik Premium"
TP-583692778014017032-128884,69968,TP-583692778014017032,2026-04-25,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
TP-583693188804282204-128884,69958,TP-583693188804282204,2026-04-25,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
TP-583704358844466787-128884,69957,TP-583704358844466787,2026-04-26,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
SP-260424MGHXN0CV,69676,SP-260424MGHXN0CV,2026-04-24,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SHF-7417-128887,69947,SHF-7417-128887,2026-04-24,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7428-128887,69945,SHF-7428-128887,2026-04-25,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7416-128887,69927,SHF-7416-128887,2026-04-24,1,shipping,2,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7427-128887,69943,SHF-7427-128887,2026-04-25,1,shipping,2,45000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7414-128887,69923,SHF-7414-128887,2026-04-24,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7425-128887,69939,SHF-7425-128887,2026-04-25,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7412-128887,69919,SHF-7412-128887,2026-04-24,1,shipping,2,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7415-128887,69925,SHF-7415-128887,2026-04-24,1,shipping,3,35000,"Sales",1,"Shipping (Domestic Shipping)"
TP-583682244870308895-128884,69874,TP-583682244870308895,2026-04-25,2,product,1,690000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp690.000 · disc: 11.54% / Rp90.000]"
TP-583687573187036687-128884,69875,TP-583687573187036687,2026-04-25,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
TP-583677760920585566-128884,69870,TP-583677760920585566,2026-04-24,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
TP-583686010705839610-128884,69872,TP-583686010705839610,2026-04-25,0,product,1,998900,"Sales",1,"Treelogy The Discovery Pack | Minyak, Bubuk & Kapsul Kelor Organik Premium – Kulit Cerah, Energi & Imunitas Alami [@Rp1.180.000 · disc: 15.35% / Rp181.100]"
TP-583686031763277753-128884,69879,TP-583686031763277753,2026-04-25,0,product,1,389900,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium [@Rp390.000 · disc: 0.03% / Rp100]"
TP-583686031763277753-128884,69879,TP-583686031763277753,2026-04-25,0,product,2,470000,"Sales",1,"TREELOGY Premium Organic Moringa Seed Oil / Minyak Biji Kelor Organik Premium"
SP-260425Q100HA8P,69861,SP-260425Q100HA8P,2026-04-25,0,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SP-260424KBJ3UCD0,69841,SP-260424KBJ3UCD0,2026-04-24,1,product,1,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SP-260425PRKB480U,69839,SP-260425PRKB480U,2026-04-25,0,product,1,320000,"Sales",1,"TREELOGY Premium Organic Moringa Powder / Bubuk Daun Kelor Organik Premium"
DP-575Y6MUM4SGX2JPH52,69825,DP-575Y6MUM4SGX2JPH52,2026-04-25,3,shipping,7,30000,"Sales",1,"Shipping (N/A)"
SHF-7408-128887,69786,SHF-7408-128887,2026-04-24,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7411-128887,69793,SHF-7411-128887,2026-04-24,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7402-128887,69774,SHF-7402-128887,2026-04-23,3,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7407-128887,69784,SHF-7407-128887,2026-04-24,1,shipping,2,15000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7405-128887,69780,SHF-7405-128887,2026-04-24,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7399-128887,69768,SHF-7399-128887,2026-04-23,3,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7400-128887,69770,SHF-7400-128887,2026-04-23,3,shipping,2,35000,"Sales",1,"Shipping (Domestic Shipping)"
SP-260423JWEF01RC,69694,SP-260423JWEF01RC,2026-04-23,1,product,3,390000,"Sales",1,"TREELOGY Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium"
SHF-7398-128887,69636,SHF-7398-128887,2026-04-23,3,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
DP-,69452,DP-0002,2026-04-23,8,shipping,13,30000,"Sales",1,"Shipping (N/A)"
SHF-7391-128887,69574,SHF-7391-128887,2026-04-22,3,shipping,10,45000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7389-128887,69564,SHF-7389-128887,2026-04-22,2,shipping,5,45000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7395-128887,69568,SHF-7395-128887,2026-04-23,3,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7385-128887,69558,SHF-7385-128887,2026-04-22,2,shipping,5,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7394-128887,69554,SHF-7394-128887,2026-04-23,4,shipping,5,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7387-128887,69560,SHF-7387-128887,2026-04-22,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7384-128887,69556,SHF-7384-128887,2026-04-22,1,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7378-128887,69407,SHF-7378-128887,2026-04-22,5,shipping,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
