salesorder_no,qbo_invoice_id,doc_number,txn_date,sync_token,line_id,amount,current_item_ref_name,current_item_ref_value,description
SHF-7434-128887,70061,SHF-7434-128887,2026-04-26,1,2,15000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7437-128887,70051,SHF-7437-128887,2026-04-26,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7432-128887,70057,SHF-7432-128887,2026-04-25,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7431-128887,70055,SHF-7431-128887,2026-04-25,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
DP-AHWAZAN46UJFTUXX6R,70049,DP-AHWAZAN46UJFTUXX6R,2026-04-27,3,7,12500,"Sales",1,"Shipping (Grab Express Instant)"
DP-SBT4DEYQ338HCPKN3C,70035,DP-SBT4DEYQ338HCPKN3C,2026-04-27,3,7,30000,"Sales",1,"Shipping (Lion Parcel REGPACK)"
DP-2XMHA3S9C7AVSUXQC6,70037,DP-2XMHA3S9C7AVSUXQC6,2026-04-27,3,7,30000,"Sales",1,"Shipping (Lion Parcel REGPACK)"
SHF-7417-128887,69947,SHF-7417-128887,2026-04-24,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7428-128887,69945,SHF-7428-128887,2026-04-25,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7416-128887,69927,SHF-7416-128887,2026-04-24,1,2,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7427-128887,69943,SHF-7427-128887,2026-04-25,1,2,45000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7414-128887,69923,SHF-7414-128887,2026-04-24,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7425-128887,69939,SHF-7425-128887,2026-04-25,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7412-128887,69919,SHF-7412-128887,2026-04-24,1,2,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7415-128887,69925,SHF-7415-128887,2026-04-24,1,3,35000,"Sales",1,"Shipping (Domestic Shipping)"
DP-575Y6MUM4SGX2JPH52,69825,DP-575Y6MUM4SGX2JPH52,2026-04-25,3,7,30000,"Sales",1,"Shipping (N/A)"
SHF-7408-128887,69786,SHF-7408-128887,2026-04-24,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7411-128887,69793,SHF-7411-128887,2026-04-24,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7402-128887,69774,SHF-7402-128887,2026-04-23,3,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7407-128887,69784,SHF-7407-128887,2026-04-24,1,2,15000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7405-128887,69780,SHF-7405-128887,2026-04-24,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7399-128887,69768,SHF-7399-128887,2026-04-23,3,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7400-128887,69770,SHF-7400-128887,2026-04-23,3,2,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7398-128887,69636,SHF-7398-128887,2026-04-23,3,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
DP-,69452,DP-0002,2026-04-23,8,13,30000,"Sales",1,"Shipping (N/A)"
SHF-7391-128887,69574,SHF-7391-128887,2026-04-22,3,10,45000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7389-128887,69564,SHF-7389-128887,2026-04-22,2,5,45000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7395-128887,69568,SHF-7395-128887,2026-04-23,3,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7385-128887,69558,SHF-7385-128887,2026-04-22,2,5,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7394-128887,69554,SHF-7394-128887,2026-04-23,4,5,35000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7387-128887,69560,SHF-7387-128887,2026-04-22,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7384-128887,69556,SHF-7384-128887,2026-04-22,1,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
SHF-7378-128887,69407,SHF-7378-128887,2026-04-22,5,2,25000,"Sales",1,"Shipping (Domestic Shipping)"
