id,name,fullyQualifiedName,type,sku,active,createTime,lastUpdated,incomeAccount,bucket,confidence,reason
23,Bamboo Scoop,Bamboo Scoop,Category,,true,2025-11-30T19:40:53-08:00,2025-11-30T19:42:27-08:00,,CATEGORY,n/a,"organizational only, no SKU"
24,Bamboo Scoop,Bamboo Scoop:Bamboo Scoop,Inventory,Bamboo-Scoop,true,2025-11-30T19:42:27-08:00,2026-04-26T19:58:26-07:00,Sales of Product Income,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
10,Consignment - Moringa Dried Leaf Powder - 90 grams,Consignment - Moringa Dried Leaf Powder - 90 grams,Category,,true,2024-07-31T21:52:23-07:00,2024-07-31T21:53:21-07:00,,CATEGORY,n/a,"organizational only, no SKU"
11,Consignment - Moringa Dried Leaf Powder - 90 grams,Consignment - Moringa Dried Leaf Powder - 90 grams:Consignment - Moringa Dried Leaf Powder - 90 grams,Inventory,,true,2024-07-31T21:53:21-07:00,2026-01-05T23:51:43-08:00,Consignment - Moringa Dried Leaf Powder - 90 grams,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
2,Hours,Hours,Service,,true,2022-01-08T23:26:54-08:00,2022-01-08T23:26:54-08:00,Sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
50,Inside Out Moringa Protocol copy,Inside Out Moringa Protocol copy,Service,Inside-Out-Protocol,true,2026-04-23T18:55:50-07:00,2026-04-26T23:13:07-07:00,Channel sales,JUBELIO_INTEGRATION,medium,Service+Sku — likely from integration or SKU-backfilled
54,Jubelio Sync Item,Jubelio Sync Item,Service,,true,2026-04-27T02:31:19-07:00,2026-04-27T02:31:19-07:00,Channel sales,JUBELIO_GENERIC_FALLBACK,high,"name starts with ""Jubelio Sync Item"""
19,Moringa Capsules-180Pcs,Moringa Capsules-180Pcs,Category,,true,2025-02-26T21:44:20-08:00,2025-02-26T21:45:10-08:00,,CATEGORY,n/a,"organizational only, no SKU"
20,Moringa Capsules-180Pcs,Moringa Capsules-180Pcs:Moringa Capsules-180Pcs,Inventory,,true,2025-02-26T21:45:10-08:00,2026-04-26T20:46:49-07:00,Moringa Capsules-180Pcs,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
17,Moringa Capsules-90Pcs,Moringa Capsules-90Pcs,Category,,true,2025-02-26T21:42:27-08:00,2025-02-26T21:43:40-08:00,,CATEGORY,n/a,"organizational only, no SKU"
18,Moringa Capsules-90Pcs,Moringa Capsules-90Pcs:Moringa Capsules-90Pcs,Inventory,,true,2025-02-26T21:43:40-08:00,2026-04-26T20:46:08-07:00,Moringa Capsules-90Pcs,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
21,Moringa Dried Leaf Powder - 45grams,Moringa Dried Leaf Powder - 45grams,Category,,true,2025-03-09T18:20:47-07:00,2025-03-09T18:42:02-07:00,,CATEGORY,n/a,"organizational only, no SKU"
22,Moringa Dried Leaf Powder - 45grams,Moringa Dried Leaf Powder - 45grams:Moringa Dried Leaf Powder - 45grams,Inventory,,true,2025-03-09T18:42:02-07:00,2026-04-24T02:26:43-07:00,Moringa Dried Leaf Powder - 45grams,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
9,Moringa Dried Leaf Powder - 90grams,Moringa Dried Leaf Powder - 90grams,Inventory,,true,2024-06-16T18:48:10-07:00,2026-04-26T19:12:58-07:00,Moringa Leaf Powder 90grams,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
5,Moringa Leaf Powder 180grams,Moringa Leaf Powder 180grams,Category,,true,2024-04-02T19:01:04-07:00,2024-06-02T20:46:27-07:00,,CATEGORY,n/a,"organizational only, no SKU"
8,Consignment - Moringa Dried Leaf Powder - 180grams,Moringa Leaf Powder 180grams:Consignment - Moringa Dried Leaf Powder - 180grams,Inventory,,true,2024-06-02T20:46:27-07:00,2025-06-30T20:48:51-07:00,Consignment - Moringa Dried Leaf Powder - 180grams,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
6,Moringa Dried Leaf Powder 180grams,Moringa Leaf Powder 180grams:Moringa Dried Leaf Powder 180grams,Inventory,,true,2024-04-02T19:01:29-07:00,2026-04-22T19:16:32-07:00,Moringa Leaf Powder 180grams,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
3,Moringa Leaf Powder 180grams - Discounted Price,Moringa Leaf Powder 180grams - Discounted Price,Category,,true,2024-04-02T18:59:25-07:00,2024-04-02T19:00:22-07:00,,CATEGORY,n/a,"organizational only, no SKU"
4,Moringa Leaf Powder 180grams - Discounted Price,Moringa Leaf Powder 180grams - Discounted Price:Moringa Leaf Powder 180grams - Discounted Price,Inventory,,true,2024-04-02T19:00:22-07:00,2024-06-23T22:46:37-07:00,Moringa Leaf Powder 180grams - Discounted Price,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
14,Moringa Seed Oil - 30ml,Moringa Seed Oil - 30ml,Category,,true,2024-12-19T23:41:46-08:00,2024-12-19T23:43:05-08:00,,CATEGORY,n/a,"organizational only, no SKU"
15,Moringa Seed Oil - 30ml,Moringa Seed Oil - 30ml:Moringa Seed Oil - 30ml,Inventory,,true,2024-12-19T23:43:05-08:00,2026-04-26T19:22:39-07:00,Moringa Seed Oil - 30ml,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
16,Moringa Seed Oil - 60ml,Moringa Seed Oil - 60ml,Inventory,,true,2024-12-22T19:51:36-08:00,2026-04-23T01:26:08-07:00,Moringa Seed Oil - 60ml,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
12,Moringa Set Box,Moringa Set Box,Category,,true,2024-11-24T03:56:53-08:00,2024-11-24T04:00:36-08:00,,CATEGORY,n/a,"organizational only, no SKU"
13,Moringa Ritual Set,Moringa Set Box:Moringa Ritual Set,Inventory,MRS-002,true,2024-11-24T04:00:36-08:00,2026-04-26T23:27:04-07:00,Channel sales,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
42,Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium,Premium Organic Moringa Capsules / Kapsul Daun Kelor Organik Premium,Service,OMC-180-001,true,2026-04-22T22:25:38-07:00,2026-04-26T20:21:07-07:00,Channel sales,JUBELIO_INTEGRATION,medium,Service+Sku — likely from integration or SKU-backfilled
44,Premium Organic Moringa Powder / Bubuk Daun Kelor Organik Premium,Premium Organic Moringa Powder / Bubuk Daun Kelor Organik Premium,Service,OMP-45-001,true,2026-04-23T02:38:46-07:00,2026-04-26T20:45:36-07:00,Channel sales,JUBELIO_INTEGRATION,medium,Service+Sku — likely from integration or SKU-backfilled
53,Premium Organic Moringa Powder / Bubuk Daun Kelor Organik Premium (OMP-45-001),Premium Organic Moringa Powder / Bubuk Daun Kelor Organik Premium (OMP-45-001),Service,OMP-45-001,true,2026-04-27T02:26:06-07:00,2026-04-27T02:26:06-07:00,Channel sales,JUBELIO_INTEGRATION,high,"Service+Sku, created 2026-04-27 (after first Jubelio webhook)"
41,Premium Organic Moringa Seed Oil / Minyak Biji Kelor Organik Premium,Premium Organic Moringa Seed Oil / Minyak Biji Kelor Organik Premium,Service,OMO-60-001,true,2026-04-22T22:24:37-07:00,2026-04-26T20:45:57-07:00,Channel sales,JUBELIO_INTEGRATION,medium,Service+Sku — likely from integration or SKU-backfilled
1,Sales,Sales,Service,,true,2022-01-08T23:26:54-08:00,2022-01-08T23:26:54-08:00,Sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
39,SAMPLE,SAMPLE,Category,,true,2026-03-10T20:31:46-07:00,2026-03-10T20:32:02-07:00,,CATEGORY,n/a,"organizational only, no SKU"
40,SAMPLE,SAMPLE:SAMPLE,Service,,true,2026-03-10T20:32:02-07:00,2026-03-10T20:32:02-07:00,Sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
7,Shipping Charge,Shipping Charge,Service,,true,2024-04-15T00:11:10-07:00,2024-04-15T00:11:10-07:00,Shipping Charge,JUBELIO_SHIPPING,high,matches getShippingItem helper name
28,Shopify discount item,Shopify discount item,Service,,true,2026-03-04T19:19:55-08:00,2026-03-04T19:19:55-08:00,Shopify discount,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
25,Shopify gift card item - EUR,Shopify gift card item - EUR,Service,,true,2026-03-04T19:19:53-08:00,2026-03-04T19:19:53-08:00,Shopify Gift card - EUR,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
26,Shopify gift card item - IDR,Shopify gift card item - IDR,Service,,true,2026-03-04T19:19:54-08:00,2026-03-04T19:19:54-08:00,Shopify Gift card - IDR,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
27,Shopify gift card item - USD,Shopify gift card item - USD,Service,,true,2026-03-04T19:19:54-08:00,2026-03-04T19:19:54-08:00,Shopify Gift card - USD,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
32,Shopify sale tips item,Shopify sale tips item,Service,,true,2026-03-04T19:20:03-08:00,2026-03-04T19:20:03-08:00,Shopify Tips,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
34,Shopify sales item,Shopify sales item,Service,,true,2026-03-04T19:20:06-08:00,2026-03-04T19:20:06-08:00,Shopify sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
29,Shopify sales tax item - EUR,Shopify sales tax item - EUR,Service,,true,2026-03-04T19:19:56-08:00,2026-03-04T19:19:56-08:00,Shopify sales tax payable - EUR,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
30,Shopify sales tax item - IDR,Shopify sales tax item - IDR,Service,,true,2026-03-04T19:19:57-08:00,2026-03-04T19:19:57-08:00,Shopify sales tax payable - IDR,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
31,Shopify sales tax item - USD,Shopify sales tax item - USD,Service,,true,2026-03-04T19:19:58-08:00,2026-03-04T19:19:58-08:00,Shopify sales tax payable - USD,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
33,Shopify shipping item,Shopify shipping item,Service,,true,2026-03-04T19:20:04-08:00,2026-03-04T19:20:04-08:00,Shopify shipping income,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
37,The Discovery Pack,The Discovery Pack,Category,,true,2026-03-04T21:50:45-08:00,2026-03-04T21:53:02-08:00,,CATEGORY,n/a,"organizational only, no SKU"
38,The Discovery Pack,The Discovery Pack:The Discovery Pack,Inventory,,true,2026-03-04T21:53:02-08:00,2026-03-04T21:53:02-08:00,Sales of Product Income,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
49,"The Discovery Pack | Minyak, Bubuk & Kapsul Kelor Organik Premium – Kulit Cerah, Energi & I","The Discovery Pack | Minyak, Bubuk & Kapsul Kelor Organik Premium – Kulit Cerah, Energi & I",Service,,true,2026-04-23T04:38:48-07:00,2026-04-26T19:47:31-07:00,Channel sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
55,"The Discovery Pack | Minyak, Bubuk & Kapsul Kelor Organik Premium – Kulit Cerah, Energi & Imunitas A","The Discovery Pack | Minyak, Bubuk & Kapsul Kelor Organik Premium – Kulit Cerah, Energi & Imunitas A",Service,Discovery-Pack,true,2026-04-27T02:35:36-07:00,2026-04-27T02:35:36-07:00,Channel sales,JUBELIO_INTEGRATION,high,"Service+Sku, created 2026-04-27 (after first Jubelio webhook)"
35,The Movement & Relief,The Movement & Relief,Category,,true,2026-03-04T21:48:51-08:00,2026-03-04T21:50:27-08:00,,CATEGORY,n/a,"organizational only, no SKU"
36,The Movement & Relief,The Movement & Relief:The Movement & Relief,Inventory,,true,2026-03-04T21:50:27-08:00,2026-03-04T21:50:27-08:00,Sales of Product Income,LEGACY_INVENTORY,high,Type=Inventory — integration only creates Service items
43,The Movement & Relief | Moringa Daun Kelor Premium | 180 Kapsul + Oil 60ml | Bantu Pegal Se,The Movement & Relief | Moringa Daun Kelor Premium | 180 Kapsul + Oil 60ml | Bantu Pegal Se,Service,,true,2026-04-22T23:19:57-07:00,2026-04-26T19:47:32-07:00,Channel sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
52,The Movement & Relief | Moringa Daun Kelor Premium | 180 Kapsul + Oil 60ml | Bantu Pegal Sendi + Per,The Movement & Relief | Moringa Daun Kelor Premium | 180 Kapsul + Oil 60ml | Bantu Pegal Sendi + Per,Service,The-Movement-&-Relief,true,2026-04-26T23:49:01-07:00,2026-04-26T23:49:01-07:00,Channel sales,JUBELIO_INTEGRATION,high,"Service+Sku, created 2026-04-27 (after first Jubelio webhook)"
51,TREELOGY Moringa Ritual Set,TREELOGY Moringa Ritual Set,Service,,true,2026-04-26T02:37:02-07:00,2026-04-26T02:37:02-07:00,Channel sales,AMBIGUOUS_SERVICE,low,Service without Sku — could be legacy or renamed generic
