salesorder_no,qbo_invoice_id,channel,jubelio_grand_total,qbo_total,qbo_balance,diff,direction,is_paid,has_marketplace_fee_line
SP-26042700188GWC,70704,SP,1096250,1250000,1250000,153750,qbo-over,false,false
SP-260426TMFQQY61,70129,SP,867840,1048840,1048840,181000,qbo-over,false,false
SP-260426TNCQN2AF,70115,SP,1096250,1326250,1326250,230000,qbo-over,false,false
SP-260425QA3P272R,70109,SP,1096250,1326250,1326250,230000,qbo-over,false,false
SP-260425QHEYC1WA,70105,SP,1096250,1326250,1326250,230000,qbo-over,false,false
SP-260426TFRW7U6W,70100,SP,1096250,1326250,1326250,230000,qbo-over,false,false
SP-260425Q78RDWJT,70094,SP,1096250,1326250,1326250,230000,qbo-over,false,false
SP-260425PHT0VE69,69847,SP,1096250,1326250,1326250,230000,qbo-over,false,false
SP-2604198MHG81Y4,69830,SP,867840,1048840,49840,181000,qbo-over,false,false
SP-260421CSQM3TER,69809,SP,1096250,1326250,76250,230000,qbo-over,false,false
SP-260424MM1WMQ92,69690,SP,1096250,1326250,76250,230000,qbo-over,false,false
